service,method,path,operation_name,tag_category,auth_level,description,request_body_schema,response_schema,notes
gateway,GET,/api/v1/health-check,V1 Health Check,system,public,"Bare health-check endpoint returning a static ok status, defined directly on the aggregated v1 API router.",,,
gateway,POST,/api/v1/auth/register/initiate,Register Initiate,auth,public,Initiates phone-based registration by generating an OTP and sending it via SMS.,RegisterInitiateRequest,RegisterInitiateResponse,
gateway,POST,/api/v1/auth/verify-otp,Verify Otp,auth,public,"Verifies an OTP code and completes registration or login, issuing access and refresh tokens.",VerifyOtpRequest,AuthResponse,
gateway,POST,/api/v1/auth/login,Login,auth,public,Authenticates a user by phone and password and returns access/refresh tokens.,LoginRequest,AuthResponse,
gateway,POST,/api/v1/auth/refresh,Refresh,auth,public,Exchanges a valid refresh token for a new access token.,TokenRefreshRequest,TokenRefreshResponse,
gateway,POST,/api/v1/auth/logout,Logout,auth,customer,Logs out the current user by invalidating their bearer token's session in Redis.,,,204 No Content
gateway,POST,/api/v1/auth/otp/resend,Resend Otp,auth,public,"Resends a registration OTP for an in-progress token, capped at 3 resends per hour per phone.",ResendOtpRequest,RegisterInitiateResponse,
gateway,GET,/api/v1/auth/me,Get Me,auth,customer,"Returns the authenticated user's profile summary including phone, KYC status and credit limit.",,CurrentUserResponse,
gateway,POST,/api/v1/auth/forgot-password,Forgot Password,auth,public,Starts the password-reset flow by sending an OTP to the given phone number.,ForgotPasswordRequest,,
gateway,POST,/api/v1/auth/reset-password,Reset Password,auth,public,Completes password reset by verifying the OTP and setting a new password.,ResetPasswordRequest,,
gateway,GET,/api/v1/auth/sessions,List Sessions,auth,customer,Lists the current user's active (non-revoked) login sessions.,,,
gateway,DELETE,/api/v1/auth/sessions/{session_id},Revoke Session,auth,customer,Revokes one of the current user's active sessions by ID.,,,204 No Content
gateway,DELETE,/api/v1/auth/sessions,Revoke All Sessions,auth,customer,Revokes all active sessions for the current user.,,,204 No Content
gateway,POST,/api/v1/auth/devices/register,Register Device,auth,customer,Registers or updates a push-notification device token for the current user.,DeviceRegisterRequest,,
gateway,DELETE,/api/v1/auth/devices/{device_id},Deregister Device,auth,customer,Deactivates and soft-deletes one of the current user's registered device tokens.,,,204 No Content
gateway,DELETE,/api/v1/auth/account,Delete Account,auth,customer,Deletes the user's account after password verification and anonymises PII; blocked if the user has active loans.,AccountDeleteRequest,,GDPR/PECA compliance flow
gateway,POST,/api/v1/admin/auth/login,Admin Login,Admin Auth,public,Authenticates an admin user by email/password and issues an admin access token (no refresh tokens for admins).,AdminLoginRequest,AdminLoginResponse,
gateway,GET,/api/v1/admin/auth/me,Admin Me,Admin Auth,admin,"Returns the authenticated admin's ID, email, role, MFA status and permissions.",,AdminMeResponse,
gateway,POST,/api/v1/admin/auth/logout,Admin Logout,Admin Auth,admin,Logs out the current admin by removing their session token from Redis.,,,204 No Content
gateway,POST,/api/v1/admin/auth/mfa/setup,Setup Mfa,Admin Auth,admin,Generates a new TOTP MFA secret for the admin and returns a QR provisioning URI (requires password re-auth).,,AdminMfaSetupResponse,Requires get_admin_for_password_change dependency
gateway,POST,/api/v1/admin/auth/mfa/verify,Verify Mfa,Admin Auth,admin,"Verifies a submitted TOTP code to enable MFA on the admin account, locking out after 5 failed attempts.",AdminMfaVerifyRequest,,
gateway,POST,/api/v1/admin/auth/admins,Create Admin,Admin Auth,admin,Creates a new admin account with a given role; requires the manage_admins permission.,CreateAdminRequest,,requires RequirePermission(manage_admins)
gateway,PUT,/api/v1/admin/auth/admins/{admin_id}/role,Assign Admin Role,Admin Auth,admin,Reassigns an admin's role and invalidates all of that admin's active sessions.,AssignRoleRequest,,requires RequirePermission(manage_admins)
gateway,POST,/api/v1/admin/auth/change-password,Admin Change Password,Admin Auth,admin,Lets an admin change their own password after verifying the current password; also satisfies forced password-change flows.,ChangePasswordRequest,,
gateway,GET,/api/v1/admin/auth/roles,List Roles,Admin Auth,admin,Lists all canonical admin roles and the permissions each grants.,,,requires RequirePermission(manage_admins)
gateway,GET,/api/v1/admin/auth/sessions,List Admin Sessions,Admin Auth,admin,"Lists admin login sessions, optionally filtered by admin_id and active-only status.",,,requires RequirePermission(manage_admins); returns list
gateway,POST,/api/v1/admin/auth/sessions/{session_id}/revoke,Revoke Admin Session,Admin Auth,admin,Revokes a specific admin session by ID and removes it from Redis.,,,requires RequirePermission(manage_admins)
gateway,PUT,/api/v1/admin/auth/session-policy,Update Session Policy,Admin Auth,admin,Sets the session-timeout duration in seconds for a given admin role via a system parameter.,SessionPolicyRequest,,requires RequirePermission(manage_admins)
gateway,POST,/api/v1/kyc/start,Start Kyc,KYC,customer,Idempotently initialises a KYC verification record for the authenticated user.,,KycVerificationResponse,
gateway,POST,/api/v1/kyc/upload/{document_type},Upload Document,KYC,customer,"Uploads a KYC document (cnic_front, cnic_back, or liveness_video) to storage and attaches it to the user's KYC record.",,KycVerificationResponse,
gateway,POST,/api/v1/kyc/submit,Submit Kyc,KYC,customer,Submits the user's uploaded KYC documents for automated and manual review.,,KycVerificationResponse,
gateway,GET,/api/v1/kyc/status,Get Kyc Status,KYC,customer,Returns the current KYC verification status with signed download URLs for uploaded documents.,,KycVerificationResponse,
gateway,POST,/api/v1/kyc/resubmit,Resubmit Kyc,KYC,customer,"Resets a rejected KYC record for resubmission, clearing prior documents and verification data (max 3 attempts).",,KycVerificationResponse,
gateway,PUT,/api/v1/kyc/profile,Upsert Profile,KYC,customer,"Creates or updates the customer's personal profile (name, CNIC, address, etc.), decrypting CNIC for the response.",CustomerProfileBase,CustomerProfileResponse,
gateway,GET,/api/v1/kyc/profile,Get Profile,KYC,customer,Fetches the customer's personal profile with the CNIC decrypted for display.,,CustomerProfileResponse,
gateway,GET,/api/v1/admin/kyc/queue,Get Queue,Admin KYC,admin,"Returns a paginated list of pending unclaimed KYC review items, flagging any that have breached the 48-hour SLA.",,list[KycQueueItemResponse],requires RequirePermission(manage_kyc_queue)
gateway,POST,/api/v1/admin/kyc/{queue_id}/claim,Claim Queue Item,Admin KYC,admin,Claims a KYC review queue item for the current admin so they can process it.,,,requires RequirePermission(manage_kyc_queue)
gateway,POST,/api/v1/admin/kyc/{queue_id}/decision,Submit Decision,Admin KYC,admin,Approves or rejects a claimed KYC submission and records an audit event; rejection requires a reason.,AdminKycDecisionRequest,KycVerificationResponse,requires RequirePermission(manage_kyc_queue)
gateway,POST,/api/v1/admin/kyc/{user_id}/trigger-reverification,Trigger Kyc Reverification,Admin KYC,admin,"Resets a user's KYC status to pending, soft-deletes their prior verification record, and queues an SMS notification asking them to re-submit.",,,requires RequirePermission(manage_kyc_queue)
gateway,GET,/api/v1/admin/hitl/stats,Get Hitl Stats,Admin HITL,admin,"Returns counts of pending, in-progress, and today's resolved human-in-the-loop queue items.",,,requires RequirePermission(manage_orders)
gateway,GET,/api/v1/admin/hitl/queue,List Hitl Queue,Admin HITL,admin,"Lists human-in-the-loop review items, optionally filtered by status.",,HitlListResponse,requires RequirePermission(manage_orders)
gateway,GET,/api/v1/admin/hitl/queue/{queue_id},Get Hitl Queue Item,Admin HITL,admin,Fetches a single HITL queue item by ID.,,HitlQueueItemResponse,requires RequirePermission(manage_orders)
